-0028-01-03	-0029-12-01
-0028-02-02	-0028-01-01
-0028-03-02	-0028-02-01
-0028-04-01	-0028-03-01
-0028-04-30	-0028-04-01
-0028-05-30	-0028-05-01
-0028-06-28	-0028-06-01
-0028-07-28	-0028-07-01
-0028-08-26	-0028-08-01
-0028-09-25	-0028-09-01
-0028-10-24	-0028-10-01
-0028-11-23	-0028-10'-01
-0028-12-23	-0028-11-01
-0029-01-14	-0030-12-01
-0029-02-12	-0029-01-01
-0029-03-14	-0029-02-01
-0029-04-12	-0029-03-01
-0029-05-12	-0029-04-01
-0029-06-10	-0029-05-01
-0029-07-10	-0029-06-01
-0029-08-08	-0029-07-01
-0029-09-07	-0029-08-01
-0029-10-07	-0029-09-01
-0029-11-05	-0029-10-01
-0029-12-05	-0029-11-01
-0030-01-24	-0030-01-01
-0030-02-23	-0030-01'-01
-0030-03-24	-0030-02-01
-0030-04-23	-0030-03-01
-0030-05-23	-0030-04-01
-0030-06-21	-0030-05-01
-0030-07-21	-0030-06-01
-0030-08-19	-0030-07-01
-0030-09-18	-0030-08-01
-0030-10-17	-0030-09-01
-0030-11-16	-0030-10-01
-0030-12-15	-0030-11-01
-0031-01-06	-0032-12-01
-0031-02-04	-0031-01-01
-0031-03-06	-0031-02-01
-0031-04-04	-0031-03-01
-0031-05-04	-0031-04-01
-0031-06-02	-0031-05-01
-0031-07-02	-0031-06-01
-0031-07-31	-0031-07-01
-0031-08-30	-0031-08-01
-0031-09-28	-0031-09-01
-0031-10-28	-0031-10-01
-0031-11-26	-0031-11-01
-0031-12-26	-0031-12-01
-0032-01-17	-0033-12-01
-0032-02-16	-0032-01-01
-0032-03-16	-0032-02-01
-0032-04-15	-0032-03-01
-0032-05-14	-0032-04-01
-0032-06-13	-0032-05-01
-0032-07-12	-0032-06-01
-0032-08-11	-0032-07-01
-0032-09-09	-0032-08-01
-0032-10-09	-0032-09-01
-0032-11-07	-0032-10-01
-0032-12-07	-0032-11-01
-0033-01-28	-0033-01-01
-0033-02-26	-0033-02-01
-0033-03-28	-0033-03-01
-0033-04-26	-0033-04-01
-0033-05-26	-0033-04'-01
-0033-06-24	-0033-05-01
-0033-07-24	-0033-06-01
-0033-08-22	-0033-07-01
-0033-09-21	-0033-08-01
-0033-10-21	-0033-09-01
-0033-11-19	-0033-10-01
-0033-12-19	-0033-11-01
-0034-01-09	-0035-12-01
-0034-02-07	-0034-01-01
-0034-03-09	-0034-02-01
-0034-04-07	-0034-03-01
-0034-05-07	-0034-04-01
-0034-06-06	-0034-05-01
-0034-07-05	-0034-06-01
-0034-08-04	-0034-07-01
-0034-09-02	-0034-08-01
-0034-10-02	-0034-09-01
-0034-10-31	-0034-10-01
-0034-11-30	-0034-11-01
-0034-12-29	-0034-12-01
-0035-01-19	-0036-12-01
-0035-02-18	-0035-01-01
-0035-03-20	-0035-02-01
-0035-04-18	-0035-03-01
-0035-05-18	-0035-04-01
-0035-06-16	-0035-05-01
-0035-07-16	-0035-06-01
-0035-08-14	-0035-07-01
-0035-09-13	-0035-08-01
-0035-10-12	-0035-09-01
-0035-11-11	-0035-10-01
-0035-12-10	-0035-11-01
-0036-01-02	-0037-12-01
-0036-01-31	-0036-01-01
-0036-03-01	-0036-02-01
-0036-03-30	-0036-03-01
-0036-04-29	-0036-04-01
-0036-05-28	-0036-05-01
-0036-06-27	-0036-06-01
-0036-07-26	-0036-07-01
-0036-08-25	-0036-08-01
-0036-09-23	-0036-08'-01
-0036-10-23	-0036-09-01
-0036-11-21	-0036-10-01
-0036-12-21	-0036-11-01
-0037-01-12	-0038-12-01
-0037-02-11	-0037-01-01
-0037-03-12	-0037-02-01
-0037-04-11	-0037-03-01
-0037-05-10	-0037-04-01
-0037-06-09	-0037-05-01
