0395-08-03	0395-07-01
0395-09-02	0395-08-01
0395-10-01	0395-09-01
0395-10-31	0395-10-01
0395-11-29	0395-11-01
0395-12-29	0395-12-01
0396-01-28	0396-01-01
0396-02-26	0396-02-01
0396-03-27	0396-03-01
0396-04-25	0396-03'-01
0396-05-25	0396-04-01
0396-06-23	0396-05-01
0396-07-23	0396-06-01
0396-08-21	0396-07-01
0396-09-20	0396-08-01
0396-10-19	0396-09-01
0396-11-18	0396-10-01
0396-12-17	0396-11-01
0397-01-16	0396-12-01
0397-02-14	0397-01-01
0397-03-16	0397-02-01
0397-04-15	0397-03-01
0397-05-14	0397-04-01
0397-06-13	0397-05-01
0397-07-12	0397-06-01
0397-08-11	0397-07-01
0397-09-09	0397-08-01
0397-10-09	0397-09-01
0397-11-07	0397-10-01
0397-12-07	0397-11-01
0398-01-05	0397-12-01
0398-02-04	0398-01-01
0398-03-05	0398-02-01
0398-04-04	0398-03-01
0398-05-03	0398-04-01
0398-06-02	0398-05-01
0398-07-01	0398-06-01
0398-07-31	0398-07-01
0398-08-30	0398-08-01
0398-09-28	0398-09-01
0398-10-28	0398-10-01
0398-11-26	0398-11-01
0398-12-26	0398-11'-01
0399-01-24	0398-12-01
0399-02-23	0399-01-01
0399-03-24	0399-02-01
0399-04-23	0399-03-01
0399-05-22	0399-04-01
0399-06-21	0399-05-01
0399-07-20	0399-06-01
0399-08-19	0399-07-01
0399-09-17	0399-08-01
0399-10-17	0399-09-01
0399-11-15	0399-10-01
0399-12-15	0399-11-01
0400-01-14	0399-12-01
0400-02-12	0400-01-01
