# y~1917 神元皇帝
# + tag 2166 #東魏
# - tag 2241 #曹弐竜
# - tag 2303 #中部拓跋部
# <https://data.suikawiki.org/tag/1922/graph?sequence=1917%2B2166-2241-2303>
# y~1365 has multiple nexts: 493,1892
mjd:-484969 建明(庚戌)
# g:0531-04-03+0 y~1343 firstday
mjd:-484905 普泰
# g:0532-06-20+1 y~1604 wartime
mjd:-484460 更興
# g:0532-06-20+0 y~1101 administrative
mjd:-484461 太昌
# g:0533-02-09+0 y~446 firstday
mjd:-484227 永興(壬子)
# g:0533-02-09+0 y~1674 firstday
mjd:-484227 永熙(壬子)
# g:0534-11-10+0 y~543 firstday
mjd:-483588 天平(甲寅)
# g:0538-02-23+0 y~1620 firstday
mjd:-482387 元象
# g:0539-12-11+0 y~619 firstday
mjd:-481731 興和
# g:0543-01-23+0 y~1713 firstday
mjd:-480592 武定
# g:0550-06-11+0 y~727 firstday
mjd:-477896 天保(庚午)
# g:0560-02-14+0 y~994 firstday
mjd:-474361 乾明(庚辰)
# g:0560-09-10+0 y~1561 firstday
mjd:-474152 皇建
# g:0561-12-05+0 y~627 firstday
mjd:-473701 太寧(辛巳)
# g:0562-05-26+0 y~1333 firstday
mjd:-473529 河清
# g:0565-06-10+0 y~1382 firstday
mjd:-472418 天統
# g:0570-01-24+0 y~1617 firstday
mjd:-470729 武平
# g:0577-01-19+0 y~581 firstday
mjd:-468177 隆化
# g:0577-02-06+0 y~238 firstday
mjd:-468159 承光(丁酉)
# g:0579-02-13+0 y~1617 firstday
mjd:-467422 武平
# g:0581-01-22+1 y~950 wartime
mjd:-466712 大象
# g:0581-01-23+0 y~1612 firstday
mjd:-466712 大定(辛丑)
# g:0581-03-06+0 y~1439 firstday
mjd:-466670 開皇
# g:0601-02-11+0 y~876 firstday
mjd:-459389 仁壽(辛酉)
# g:0605-01-28+0 y~1682 firstday
mjd:-457942 大業
# g:0617-12-21+0 y~969 firstday
mjd:-453232 義寧
# g:0618-06-21+0 y~1106 firstday
mjd:-453050 武德
# g:0627-01-26+0 y~104 firstday
mjd:-449909 貞觀(丁亥)
# g:0650-02-10+0 y~422 firstday
mjd:-441493 永徽
# g:0656-02-10+0 y~724 firstday
mjd:-439302 顯慶
# g:0661-04-08+0 y~205 firstday
mjd:-437418 龍朔
# g:0664-02-05+0 y~1192 firstday
mjd:-436385 麟德
# g:0666-02-17+0 y~377 firstday
mjd:-435642 乾封
# g:0668-04-01+0 y~1272 firstday
mjd:-434868 總章
# g:0670-03-30+0 y~245 firstday
mjd:-434140 咸亨
# g:0674-09-23+0 y~1212 firstday
mjd:-432502 上元
# g:0676-12-21+0 y~824 firstday
mjd:-431682 儀鳳
# g:0679-07-18+0 y~770 firstday
mjd:-430743 調露
# g:0680-09-24+0 y~1445 firstday
mjd:-430309 永隆
# g:0681-11-18+0 y~594 firstday
mjd:-429889 開耀
# g:0682-04-05+0 y~1264 firstday
mjd:-429751 永淳
# g:0683-12-30+0 y~1157 firstday
mjd:-429117 弘道
# g:0684-01-26+0 y~1630 firstday
mjd:-429090 嗣聖
# g:0684-03-01+0 y~1657 firstday
mjd:-429055 文明(甲申)
# g:0684-11-15+0 y~1470 firstday
mjd:-428796 光宅
# g:0685-03-13+0 y~1481 firstday
mjd:-428678 垂拱
# g:0689-01-30+0 y~1365 firstday
mjd:-427259 永昌(己丑)
# g:0689-12-21+0 y~493 firstday
mjd:-426934 載初
# g:0690-10-19+0 y~505 firstday
mjd:-426632 天授(庚寅)
# g:0692-05-24+0 y~1574 firstday
mjd:-426049 如意
# g:0692-11-16+0 y~409 firstday
mjd:-425873 長壽
# g:0694-06-30+0 y~291 firstday
mjd:-425282 延載
# g:0695-02-21+0 y~1291 firstday
mjd:-425046 証聖
# g:0695-11-14+0 y~489 firstday
mjd:-424780 天冊萬歲
# g:0696-01-23+0 y~589 firstday
mjd:-424710 萬歲登封
# g:0696-05-10+0 y~1016 firstday
mjd:-424602 萬歲通天
# g:0697-10-23+0 y~775 firstday
mjd:-424071 神功
# g:0698-03-20+0 y~906 firstday
mjd:-423923 聖曆
# g:0700-05-31+0 y~290 firstday
mjd:-423121 久視
# g:0701-03-17+0 y~1154 firstday
mjd:-422831 大足
# g:0701-12-07+0 y~550 firstday
mjd:-422566 長安
# g:0705-03-03+0 y~285 firstday
mjd:-421384 神龍
# g:0707-10-09+0 y~1610 firstday
mjd:-420434 景龍
# g:0710-07-09+0 y~987 firstday
mjd:-419430 唐隆
# g:0710-08-23+0 y~1691 firstday
mjd:-419385 景雲
# g:0712-03-05+0 y~746 firstday
mjd:-418825 太極
# g:0712-06-15+0 y~273 firstday
mjd:-418723 延和(壬子)
# g:0712-09-16+0 y~592 firstday
mjd:-418630 先天
# g:0713-12-26+0 y~1518 firstday
mjd:-418164 開元
# g:0742-02-14+0 y~810 firstday
mjd:-407887 天寶
# g:0756-08-16+0 y~1039 firstday
mjd:-402590 至德(丙申)
# g:0758-03-22+0 y~579 firstday
mjd:-402007 乾元(戊戌)
# g:0760-06-11+0 y~1666 firstday
mjd:-401195 上元(庚子)
# g:0761-08-28+0 y~1846 commenced
mjd:-400752 肅宗
# g:0762-05-18+0 y~1599 firstday
mjd:-400489 寶應
# g:0763-08-28+0 y~175 firstday
mjd:-400022 廣德
# g:0765-01-30+0 y~835 firstday
mjd:-399501 永泰(乙巳)
# g:0766-12-22+0 y~769 firstday
mjd:-398810 大曆
