# y~606 建始(辛酉)
# + tag 2562 #前涼
# - tag 2577 #李儼
# - tag 2439 #司馬穎
# <https://data.suikawiki.org/tag/1922/graph?sequence=606%2B2562-2577-2439>
# g:0898-09-20+0 y~1699 firstday
mjd:-350690 光化
# g:0900-12-29+0 y~1656 firstday
mjd:-349860 天壽(濮王)
# g:0901-02-26+0 y~1699 firstday
mjd:-349801 光化
# g:0901-05-18+0 y~1290 firstday
mjd:-349720 天復
# g:0904-06-02+0 y~203 firstday
mjd:-348609 天祐
# g:0907-06-10+0 y~479 firstday
mjd:-347506 開平
# g:0911-06-05+0 y~143 firstday
mjd:-346050 乾化
# g:0913-03-06+0 y~1447 firstday
mjd:-345410 鳳歷(癸酉)
# g:0913-04-01+0 y~143 firstday
mjd:-345384 乾化
# g:0915-12-22+0 y~1183 firstday
mjd:-344389 貞明(乙亥)
# g:0921-06-14+0 y~1266 firstday
mjd:-342388 龍德
# g:0925-01-31+0 y~1217 firstday
mjd:-341061 寶大
# g:0927-02-09+0 y~393 firstday
mjd:-340322 寶正
# g:0932-06-11+0 y~1488 commenced
mjd:-338373 長興
# g:0934-01-29+0 y~1545 firstday
mjd:-337776 應順
# g:0934-06-05+0 y~417 firstday
mjd:-337649 清泰
# g:0938-09-01+0 y~921 commenced
mjd:-336100 天福(丙申)
# g:0944-07-28+0 y~450 firstday
mjd:-333943 開運
# g:0948-02-17+0 y~921 firstday
mjd:-332644 天福(丙申)
# g:0948-02-22+0 y~328 firstday
mjd:-332639 乾祐
# g:0951-02-18+0 y~945 firstday
mjd:-331547 廣順
# g:0954-02-11+0 y~618 firstday
mjd:-330458 顯德
# g:0960-02-09+0 y~144 firstday
mjd:-328269 建隆(庚申)
# g:0963-12-09+0 y~261 firstday
mjd:-326870 乾德(癸亥)
# g:0968-12-21+0 y~436 firstday
mjd:-325031 開寶(戊辰)
# g:0977-01-19+0 y~929 firstday
mjd:-322080 太平興國(丙子)
# g:0984-12-11+0 y~1232 firstday
mjd:-319197 雍熙
# g:0988-02-12+0 y~1253 firstday
mjd:-318039 端拱
# g:0990-02-04+0 y~849 firstday
mjd:-317316 淳化
# g:0995-02-08+0 y~1193 firstday
