# y~756 神武天皇
# + tag 1066 #日本南朝
# <https://data.suikawiki.org/tag/1003/graph?sequence=756%2B1066>
mjd:-232463 貞応
# g:1225-01-07+0 y~486 firstday
mjd:-231512 元仁
# g:1225-06-04+0 y~608 firstday
mjd:-231364 嘉禄
# g:1228-01-25+0 y~852 firstday
mjd:-230399 安貞
# g:1229-04-07+0 y~137 firstday
mjd:-229961 寛喜
# g:1232-04-30+0 y~1469 firstday
mjd:-228842 貞永
# g:1233-06-01+0 y~1437 firstday
mjd:-228445 天福
# g:1234-12-04+0 y~1405 firstday
mjd:-227894 文暦
# g:1235-11-08+0 y~972 firstday
mjd:-227555 嘉禎
# g:1239-01-06+0 y~773 firstday
mjd:-226400 暦仁
# g:1239-03-20+0 y~1315 firstday
mjd:-226327 延応
# g:1240-08-12+0 y~1018 firstday
mjd:-225816 仁治
# g:1243-03-25+0 y~180 firstday
mjd:-224861 寛元
# g:1247-04-12+0 y~1189 firstday
mjd:-223382 宝治
# g:1249-05-09+0 y~1659 firstday
mjd:-222624 建長
# g:1256-10-31+0 y~655 firstday
mjd:-219892 康元
# g:1257-04-07+0 y~310 firstday
mjd:-219734 正嘉
# g:1259-04-27+0 y~707 firstday
mjd:-218984 正元
# g:1260-05-31+0 y~1252 firstday
mjd:-218584 文応
# g:1261-03-29+0 y~639 firstday
mjd:-218282 弘長
# g:1264-04-03+0 y~1077 firstday
mjd:-217181 文永
# g:1275-05-29+0 y~1541 firstday
mjd:-213108 建治
# g:1278-03-30+0 y~1042 firstday
mjd:-212072 弘安
# g:1288-06-05+0 y~734 firstday
mjd:-208352 正応
# g:1293-09-13+0 y~1119 firstday
mjd:-206426 永仁
# g:1299-06-01+0 y~1454 firstday
mjd:-204339 正安
# g:1302-12-18+0 y~1380 firstday
mjd:-203044 乾元
# g:1303-09-24+0 y~415 firstday
mjd:-202764 嘉元
# g:1307-01-26+0 y~339 firstday
mjd:-201544 徳治
# g:1308-11-30+0 y~895 firstday
mjd:-200870 延慶
# g:1311-05-25+0 y~1509 firstday
mjd:-199964 応長
# g:1312-05-05+0 y~1498 firstday
mjd:-199618 正和
# g:1317-03-24+0 y~1000 firstday
mjd:-197834 文保
# g:1319-05-26+0 y~382 firstday
mjd:-197041 元応
# g:1321-03-30+0 y~739 firstday
mjd:-196367 元亨
# g:1325-01-02+0 y~1429 firstday
mjd:-194993 正中
# g:1326-06-05+0 y~1229 firstday
mjd:-194474 嘉暦
# g:1329-09-30+0 y~1182 firstday
mjd:-193261 元徳
# g:1331-09-19+0 y~1301 firstday
mjd:-192542 元弘
# g:1334-03-13+0 y~1506 firstday
mjd:-191636 建武
# g:1336-04-19+0 y~789 firstday
mjd:-190868 延元
# g:1340-06-02+0 y~1471 firstday
mjd:-189363 興国
# g:1347-01-28+0 y~1250 firstday
mjd:-186932 正平
# g:1370-03-11+0 y~456 firstday
mjd:-178489 建徳
# g:1372-06-08+0 y~634 firstday
mjd:-177669 文中
# g:1375-07-04+0 y~1107 firstday
mjd:-176548 天授
# g:1381-03-14+0 y~21 firstday
mjd:-174468 弘和
# g:1384-05-26+0 y~650 firstday
mjd:-173299 元中
# g:1392-11-27+0 y~870 wartime
mjd:-170192 明徳
# g:1394-08-10+0 y~1210 firstday
mjd:-169571 応永
# g:1428-06-19+0 y~507 firstday
mjd:-157205 正長
# g:1429-10-12+0 y~217 firstday
mjd:-156725 永享
# g:1441-03-19+0 y~1688 firstday
mjd:-152549 嘉吉
# g:1444-03-03+0 y~874 firstday
mjd:-151469 文安
# g:1449-08-25+0 y~1496 firstday
mjd:-149468 宝徳
# g:1452-08-19+0 y~336 firstday
mjd:-148378 享徳
# g:1455-09-15+0 y~832 firstday
mjd:-147256 康正
# g:1457-10-25+0 y~213 firstday
mjd:-146485 長禄
# g:1461-02-10+0 y~855 firstday
mjd:-145281 寛正
# g:1466-03-23+0 y~376 firstday
mjd:-143414 文正
# g:1467-04-18+0 y~1103 firstday
mjd:-143023 応仁
# g:1469-06-17+0 y~132 firstday
mjd:-142232 文明
# g:1487-08-18+0 y~996 firstday
mjd:-135596 長享
# g:1489-09-25+0 y~419 firstday
mjd:-134827 延徳
# g:1492-08-21+0 y~424 firstday
mjd:-133766 明応
# g:1501-03-28+0 y~353 firstday
mjd:-130626 文亀
# g:1504-03-26+0 y~52 firstday
mjd:-129532 永正
# g:1521-10-03+0 y~1360 firstday
mjd:-123132 大永
# g:1528-09-13+0 y~43 firstday
mjd:-120595 享禄
# g:1532-09-08+0 y~753 firstday
mjd:-119139 天文
# g:1555-11-17+0 y~202 firstday
mjd:-110669 弘治
# g:1558-03-28+0 y~344 firstday
mjd:-109807 永禄
# g:1570-06-06+0 y~660 firstday
mjd:-105354 元亀
# g:1573-09-04+0 y~570 firstday
mjd:-104168 天正
# g:1593-01-10+0 y~889 firstday
mjd:-97100 文禄
# g:1596-12-16+0 y~1529 firstday
mjd:-95664 慶長
# g:1615-09-05+0 y~453 firstday
mjd:-88827 元和
# g:1624-04-17+0 y~1614 firstday
mjd:-85680 寛永
# g:1645-01-13+0 y~1055 firstday
mjd:-78104 正保
# g:1648-04-07+0 y~1220 firstday
mjd:-76924 慶安
# g:1652-10-20+0 y~1591 firstday
mjd:-75267 承応
# g:1655-05-18+0 y~808 firstday
mjd:-74327 明暦
# g:1658-08-21+0 y~1519 firstday
mjd:-73136 万治
# g:1661-05-23+0 y~1595 firstday
mjd:-72130 寛文
# g:1673-10-30+0 y~231 firstday
mjd:-67587 延宝
# g:1681-11-09+0 y~1478 firstday
mjd:-64655 天和
# g:1684-04-05+0 y~1550 firstday
mjd:-63777 貞享
# g:1688-10-23+0 y~491 firstday
mjd:-62115 元禄
# g:1704-04-16+0 y~1197 firstday
mjd:-56462 宝永
# g:1711-06-11+0 y~1484 firstday
mjd:-53850 正徳
# g:1716-08-09+0 y~302 firstday
mjd:-51964 享保
# g:1736-06-07+0 y~198 firstday
mjd:-44722 元文
# g:1741-04-12+0 y~935 firstday
mjd:-42952 寛保
# g:1744-04-03+0 y~927 firstday
mjd:-41865 延享
# g:1748-08-05+0 y~374 firstday
mjd:-40280 寛延
# g:1751-12-14+0 y~1199 firstday
mjd:-39054 宝暦
# g:1764-06-30+0 y~1406 firstday
mjd:-34472 明和
# g:1772-12-10+0 y~1090 firstday
mjd:-31387 安永
# g:1781-04-25+0 y~1627 firstday
mjd:-28329 天明
# g:1789-02-19+0 y~197 firstday
mjd:-25472 寛政
# g:1801-03-19+0 y~1393 firstday
mjd:-21062 享和
# g:1804-03-22+0 y~817 firstday
mjd:-19963 文化
# g:1818-05-26+0 y~1538 firstday
mjd:-14785 文政
# g:1831-01-23+0 y~149 firstday
mjd:-10160 天保
# g:1845-01-09+0 y~1585 firstday
mjd:-5060 弘化
# g:1848-04-01+0 y~1354 firstday
mjd:-3882 嘉永
# g:1855-01-15+0 y~1660 firstday
mjd:-1402 安政
# g:1860-04-08+0 y~682 firstday
mjd:508 万延
# g:1861-03-29+0 y~91 firstday
mjd:863 文久
# g:1864-03-27+0 y~905 firstday
mjd:1957 元治
# g:1865-05-01+0 y~863 firstday
mjd:2357 慶応
# g:1868-10-23+0 y~1 firstday
mjd:3628 明治
# g:1912-07-30+0 y~2 firstday
mjd:19613 大正
# g:1926-12-25+0 y~3 firstday
mjd:24874 昭和
# g:1989-01-08+0 y~4 firstday
mjd:47534 平成
# g:2019-05-01+0 y~5 firstday
mjd:58604 令和
